Titulo_marcador,Tipo,Provincia,Localidade,Centro_ou_sede,Enderezo_para_Google,Universidade,Campus,Familias_ou_ramas,Modalidades,Numero_de_estudos,Estudos,Prazas_total_indicadas,Fontes,Nota_de_rigor
CIFP Paseo das Pontes · A Coruña,FP básica,A Coruña,A Coruña,CIFP Paseo das Pontes,"CIFP Paseo das Pontes, A Coruña, A Coruña, Galicia, España",,,"Hostalaría e turismo | Téxtil, confección e pel",Oferta ordinaria,3,Aloxamento e lavandaría (Oferta ordinaria) || Arranxos e reparación de artigos téxtiles e de pel (Oferta ordinaria) || Tapizaría e cortinaxe (Oferta ordinaria),54,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CIFP Someso · A Coruña,FP básica,A Coruña,A Coruña,CIFP Someso,"CIFP Someso, A Coruña, A Coruña, Galicia, España",,,"Edificación e obra civil | Fabricación mecánica | Imaxe persoal | Madeira, moble e cortiza | Transporte e mantemento de vehículos",Oferta ordinaria,5,Carpintaría e moble (Oferta ordinaria) || Fabricación e montaxe (Oferta ordinaria) || Mantemento de vehículos (Oferta ordinaria) || Peiteado e estética (Oferta ordinaria) || Reforma e mantemento de edificios (Oferta ordinaria),108,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CPR Aula Nosa · A Coruña,FP básica,A Coruña,A Coruña,CPR Aula Nosa,"CPR Aula Nosa, A Coruña, A Coruña, Galicia, España",,,Informática e comunicacións,Oferta ordinaria,1,Informática de oficina (Oferta ordinaria),20,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CPR Nebrija Torre de Hércules · A Coruña,FP básica,A Coruña,A Coruña,CPR Nebrija Torre de Hércules,"CPR Nebrija Torre de Hércules, A Coruña, A Coruña, Galicia, España",,,Administración e xestión | Informática e comunicacións,Oferta ordinaria,2,Informática e comunicacións (Oferta ordinaria) || Servizos administrativos (Oferta ordinaria),40,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CPR Plurilingüe Fogar de Santa Margarida · A Coruña,FP básica,A Coruña,A Coruña,CPR Plurilingüe Fogar de Santa Margarida,"CPR Plurilingüe Fogar de Santa Margarida, A Coruña, A Coruña, Galicia, España",,,Comercio e márketing,Oferta ordinaria,1,Servizos comerciais (Oferta ordinaria),20,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CPR Plurilingüe La Grande Obra de Atocha · A Coruña,FP básica,A Coruña,A Coruña,CPR Plurilingüe La Grande Obra de Atocha,"CPR Plurilingüe La Grande Obra de Atocha, A Coruña, A Coruña, Galicia, España",,,Administración e xestión,Oferta ordinaria,1,Servizos administrativos (Oferta ordinaria),20,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Fernando Wirtz Suárez · A Coruña,FP básica,A Coruña,A Coruña,IES Fernando Wirtz Suárez,"IES Fernando Wirtz Suárez, A Coruña, A Coruña, Galicia, España",,,Informática e comunicacións,Oferta ordinaria,1,Informática e comunicacións (quenda de tarde) (Oferta ordinaria),18,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Ramón Menéndez Pidal · A Coruña,FP básica,A Coruña,A Coruña,IES Ramón Menéndez Pidal,"IES Ramón Menéndez Pidal, A Coruña, A Coruña, Galicia, España",,,Comercio e márketing,Oferta ordinaria,1,Servizos comerciais (Oferta ordinaria),18,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Rosalía Mera · A Coruña,FP básica,A Coruña,A Coruña,IES Rosalía Mera,"IES Rosalía Mera, A Coruña, A Coruña, Galicia, España",,,"Artes gráficas | Fabricación mecánica | Madeira, moble e cortiza",Oferta ordinaria,3,Artes gráficas (Oferta ordinaria) || Carpintaría e moble (Oferta ordinaria) || Fabricación e montaxe (Oferta ordinaria),54,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Urbano Lugrís · A Coruña,FP básica,A Coruña,A Coruña,IES Urbano Lugrís,"IES Urbano Lugrís, A Coruña, A Coruña, Galicia, España",,,Electricidade e electrónica | Informática e comunicacións,Oferta ordinaria,2,Electricidade e electrónica (Oferta ordinaria) || Informática de oficina (Oferta ordinaria),54,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
