Titulo_marcador,Tipo,Provincia,Localidade,Centro_ou_sede,Enderezo_para_Google,Universidade,Campus,Familias_ou_ramas,Modalidades,Numero_de_estudos,Estudos,Prazas_total_indicadas,Fontes,Nota_de_rigor
CEE María Mariño · A Coruña,FP,A Coruña,A Coruña,CEE María Mariño,"CEE María Mariño, A Coruña, A Coruña, Galicia, España",,,Agraria | Artes gráficas | Hostalaría e turismo,Programas formativos básicos,4,PFB de Cociña (Programas formativos básicos) || PFB de Lavandaría (Programas formativos básicos) || PFB de Reprografía (Programas formativos básicos) || PFB de Xardinaría e viveirismo (Programas formativos básicos),72,i_portal_oferta_clasificada_por_prov_concello_programas_basicos.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CEE Nosa Señora do Rosario · A Coruña,FP,A Coruña,A Coruña,CEE Nosa Señora do Rosario,"CEE Nosa Señora do Rosario, A Coruña, A Coruña, Galicia, España",,,Imaxe persoal | Servizos socioculturais e á comunidade,Programas formativos básicos,4,PFB de Actividades domésticas (Programas formativos básicos) || PFB de Estética (Programas formativos básicos) || PFB de Limpeza de edificios (Programas formativos básicos) || PFB de Peiteado (Programas formativos básicos),72,i_portal_oferta_clasificada_por_prov_concello_programas_basicos.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CIFP Paseo das Pontes · A Coruña,FP,A Coruña,A Coruña,CIFP Paseo das Pontes,"CIFP Paseo das Pontes, A Coruña, A Coruña, Galicia, España",,,"Hostalaría e turismo | Téxtil, confección e pel",FP básica,3,Aloxamento e lavandaría (FP básica) || Arranxos e reparación de artigos téxtiles e de pel (FP básica) || Tapizaría e cortinaxe (FP básica),54,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CIFP Someso · A Coruña,FP,A Coruña,A Coruña,CIFP Someso,"CIFP Someso, A Coruña, A Coruña, Galicia, España",,,"Edificación e obra civil | Fabricación mecánica | Imaxe persoal | Madeira, moble e cortiza | Transporte e mantemento de vehículos",FP básica,5,Carpintaría e moble (FP básica) || Fabricación e montaxe (FP básica) || Mantemento de vehículos (FP básica) || Peiteado e estética (FP básica) || Reforma e mantemento de edificios (FP básica),108,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Fernando Wirtz Suárez · A Coruña,FP,A Coruña,A Coruña,IES Fernando Wirtz Suárez,"IES Fernando Wirtz Suárez, A Coruña, A Coruña, Galicia, España",,,Informática e comunicacións,FP básica,1,Informática e comunicacións (FP básica),18,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Ramón Menéndez Pidal · A Coruña,FP,A Coruña,A Coruña,IES Ramón Menéndez Pidal,"IES Ramón Menéndez Pidal, A Coruña, A Coruña, Galicia, España",,,"Artes gráficas | Comercio e márketing | Fabricación mecánica | Madeira, moble e cortiza",FP básica,4,Artes gráficas (FP básica) || Carpintaría e moble (FP básica) || Fabricación e montaxe (FP básica) || Servizos comerciais (FP básica),72,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Urbano Lugrís · A Coruña,FP,A Coruña,A Coruña,IES Urbano Lugrís,"IES Urbano Lugrís, A Coruña, A Coruña, Galicia, España",,,Electricidade e electrónica | Informática e comunicacións,FP básica,2,Electricidade e electrónica (FP básica) || Informática de oficina (FP básica),54,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CPR Divino Maestro · A Pobra do Caramiñal,FP,A Coruña,A Pobra do Caramiñal,CPR Divino Maestro,"CPR Divino Maestro, A Pobra do Caramiñal, A Coruña, Galicia, España",,,Administración e xestión,FP básica,1,Servizos administrativos (FP básica),20,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Plurilingüe de Ames · Ames,FP,A Coruña,Ames,IES Plurilingüe de Ames,"IES Plurilingüe de Ames, Ames, A Coruña, Galicia, España",,,Agraria | Imaxe persoal,FP básica,2,Agroxardinaría e composicións florais (FP básica) || Peiteado e estética (FP básica),36,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CPR Agarimo · Arteixo,FP,A Coruña,Arteixo,CPR Agarimo,"CPR Agarimo, Arteixo, A Coruña, Galicia, España",,,"Agraria | Hostalaría e turismo | Madeira, moble e cortiza",FP básica,3,Agroxardinaría e composicións florais (FP básica) || Carpintaría e moble (FP básica) || Cociña e restauración (FP básica),60,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
