Titulo_marcador,Tipo,Provincia,Localidade,Centro_ou_sede,Enderezo_para_Google,Universidade,Campus,Familias_ou_ramas,Modalidades,Numero_de_estudos,Estudos,Prazas_total_indicadas,Fontes,Nota_de_rigor
CIFP Paseo das Pontes · A Coruña,FP grao medio,A Coruña,A Coruña,CIFP Paseo das Pontes,"CIFP Paseo das Pontes, A Coruña, A Coruña, Galicia, España",,,"Hostalaría e turismo | Industrias alimentarias | Téxtil, confección e pel",Oferta ordinaria,5,Cociña e gastronomía (Oferta ordinaria) || Confección e moda (Oferta ordinaria) || Elaboración de produtos alimentarios (Oferta ordinaria) || Panadaría e bolaría artesanais (Oferta ordinaria) || Servizos en restauración (Oferta ordinaria),133,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CIFP Someso · A Coruña,FP grao medio,A Coruña,A Coruña,CIFP Someso,"CIFP Someso, A Coruña, A Coruña, Galicia, España",,,"Fabricación mecánica | Imaxe persoal | Madeira, moble e cortiza | Transporte e mantemento de vehículos",Oferta ordinaria,8,Carpintaría e moble (Oferta ordinaria) || Carrozaría (Oferta ordinaria) || Electromecánica de vehículos automóbiles (Oferta ordinaria) || Estética e beleza (Oferta ordinaria) || Estética e beleza (quenda de tarde) (Oferta ordinaria) || Mecanizado (Oferta ordinaria) || Peiteado e cosmética capilar (Oferta ordinaria) || Soldadura e caldeiraría (Oferta ordinaria),198,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CIFP Ánxel Casal - Monte Alto · A Coruña,FP grao medio,A Coruña,A Coruña,CIFP Ánxel Casal - Monte Alto,"CIFP Ánxel Casal - Monte Alto, A Coruña, A Coruña, Galicia, España",,,Sanidade | Servizos socioculturais e á comunidade,Oferta ordinaria,2,Atención a persoas en situación de dependencia (Oferta ordinaria) || Farmacia e parafarmacia (Oferta ordinaria),47,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CPR Cervantes · A Coruña,FP grao medio,A Coruña,A Coruña,CPR Cervantes,"CPR Cervantes, A Coruña, A Coruña, Galicia, España",,,Administración e xestión,Oferta ordinaria,1,Xestión administrativa (Oferta ordinaria),30,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CPR Cruz Roja Española · A Coruña,FP grao medio,A Coruña,A Coruña,CPR Cruz Roja Española,"CPR Cruz Roja Española, A Coruña, A Coruña, Galicia, España",,,Sanidade | Servizos socioculturais e á comunidade,Oferta ordinaria,2,Atención a persoas en situación de dependencia (Oferta ordinaria) || Farmacia e parafarmacia (Oferta ordinaria),60,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CPR Nebrija Torre de Hércules · A Coruña,FP grao medio,A Coruña,A Coruña,CPR Nebrija Torre de Hércules,"CPR Nebrija Torre de Hércules, A Coruña, A Coruña, Galicia, España",,,Administración e xestión | Comercio e márketing | Sanidade,Oferta ordinaria,3,Actividades comerciais (Oferta ordinaria) || Farmacia e parafarmacia (Oferta ordinaria) || Xestión administrativa (Oferta ordinaria),80,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CPR Plurilingüe Cristo Rey · A Coruña,FP grao medio,A Coruña,A Coruña,CPR Plurilingüe Cristo Rey,"CPR Plurilingüe Cristo Rey, A Coruña, A Coruña, Galicia, España",,,Química,Oferta ordinaria,1,Planta química (Oferta ordinaria),30,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CPR Plurilingüe Fogar de Santa Margarida · A Coruña,FP grao medio,A Coruña,A Coruña,CPR Plurilingüe Fogar de Santa Margarida,"CPR Plurilingüe Fogar de Santa Margarida, A Coruña, A Coruña, Galicia, España",,,Comercio e márketing,Oferta ordinaria,1,Actividades comerciais (Oferta ordinaria),30,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CPR Plurilingüe Karbo · A Coruña,FP grao medio,A Coruña,A Coruña,CPR Plurilingüe Karbo,"CPR Plurilingüe Karbo, A Coruña, A Coruña, Galicia, España",,,Administración e xestión,Oferta ordinaria,1,Xestión administrativa (Oferta ordinaria),20,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CPR Plurilingüe La Grande Obra de Atocha · A Coruña,FP grao medio,A Coruña,A Coruña,CPR Plurilingüe La Grande Obra de Atocha,"CPR Plurilingüe La Grande Obra de Atocha, A Coruña, A Coruña, Galicia, España",,,Administración e xestión,Oferta ordinaria,1,Xestión administrativa (Oferta ordinaria),30,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
