Titulo_marcador,Tipo,Provincia,Localidade,Centro_ou_sede,Enderezo_para_Google,Universidade,Campus,Familias_ou_ramas,Modalidades,Numero_de_estudos,Estudos,Prazas_total_indicadas,Fontes,Nota_de_rigor
CIFP Imaxe e Son · A Coruña,FP grao superior,A Coruña,A Coruña,CIFP Imaxe e Son,"CIFP Imaxe e Son, A Coruña, A Coruña, Galicia, España",,,Imaxe e son,Oferta ordinaria,5,"Animacións 3D, xogos e contornos interactivos (Oferta ordinaria) || Iluminación, captación e tratamento de imaxe (Oferta ordinaria) || Produción de audiovisuais e espectáculos (Oferta ordinaria) || Realización de proxectos audiovisuais e espectáculos (Oferta ordinaria) || Son para audiovisuais e espectáculos (Oferta ordinaria)",110,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CIFP Paseo das Pontes · A Coruña,FP grao superior,A Coruña,A Coruña,CIFP Paseo das Pontes,"CIFP Paseo das Pontes, A Coruña, A Coruña, Galicia, España",,,"Hostalaría e turismo | Industrias alimentarias | Téxtil, confección e pel",Oferta ordinaria,6,Dirección de cociña (Oferta ordinaria) || Dirección de servizos de restauración (Oferta ordinaria) || Patronaxe e moda (Oferta ordinaria) || Procesos e calidade na industria alimentaria (Oferta ordinaria) || Vestiario á medida e de espectáculos (quenda de tarde) (Oferta ordinaria) || Xestión de aloxamentos turísticos (quenda de tarde) (Oferta ordinaria),140,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CIFP Someso · A Coruña,FP grao superior,A Coruña,A Coruña,CIFP Someso,"CIFP Someso, A Coruña, A Coruña, Galicia, España",,,"Edificación e obra civil | Fabricación mecánica | Imaxe persoal | Madeira, moble e cortiza | Transporte e mantemento de vehículos",Oferta ordinaria,9,Automoción (Oferta ordinaria) || Construcións metálicas (Oferta ordinaria) || Deseño e amoblamento (Oferta ordinaria) || Estilismo e dirección de peiteado (Oferta ordinaria) || Estética integral e benestar (Oferta ordinaria) || Fabricación aditiva (Oferta ordinaria) || Programación da produción en fabricación mecánica (Oferta ordinaria) || Proxectos de edificación (Oferta ordinaria) || Proxectos de obra civil (Oferta ordinaria),212,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CIFP Ánxel Casal - Monte Alto · A Coruña,FP grao superior,A Coruña,A Coruña,CIFP Ánxel Casal - Monte Alto,"CIFP Ánxel Casal - Monte Alto, A Coruña, A Coruña, Galicia, España",,,Química | Sanidade | Seguridade e medio ambiente | Servizos socioculturais e á comunidade,Oferta ordinaria,15,Anatomía patolóxica e citodiagnóstico (Oferta ordinaria) || Animación sociocultural e turística (Oferta ordinaria) || Audioloxía protésica (Oferta ordinaria) || Cultivos celulares (Oferta ordinaria) || Educación infantil (Oferta ordinaria) || Educación infantil (quenda de tarde) (Oferta ordinaria) || Hixiene bucodental (Oferta ordinaria) || Imaxe para o diagnóstico e medicina nuclear (Oferta ordinaria) || Integración social (Oferta ordinaria) || Laboratorio clínico e biomédico (Oferta ordinaria) || Mediación comunicativa (Oferta ordinaria) || Próteses dentais (Oferta ordinaria) || Próteses dentais (quenda de tarde) (Oferta ordinaria) || Química e saúde ambiental (Oferta ordinaria) || Radioterapia e dosimetría (quenda de tarde) (Oferta ordinaria),358,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CPR Afundación A Coruña · A Coruña,FP grao superior,A Coruña,A Coruña,CPR Afundación A Coruña,"CPR Afundación A Coruña, A Coruña, A Coruña, Galicia, España",,,Administración e xestión | Informática e comunicacións,Oferta ordinaria,4,Administración e finanzas (Oferta ordinaria) || Asistencia á dirección (Oferta ordinaria) || Desenvolvemento de aplicacións multiplataforma (Oferta ordinaria) || Desenvolvemento de aplicacións web (Oferta ordinaria),120,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CPR Cruz Roja Española · A Coruña,FP grao superior,A Coruña,A Coruña,CPR Cruz Roja Española,"CPR Cruz Roja Española, A Coruña, A Coruña, Galicia, España",,,Sanidade,Oferta ordinaria,2,Imaxe para o diagnóstico e medicina nuclear (Oferta ordinaria) || Laboratorio clínico e biomédico (Oferta ordinaria),60,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CPR Plurilingüe Karbo · A Coruña,FP grao superior,A Coruña,A Coruña,CPR Plurilingüe Karbo,"CPR Plurilingüe Karbo, A Coruña, A Coruña, Galicia, España",,,Informática e comunicacións,Oferta ordinaria,1,Desenvolvemento de aplicacións multiplataforma (Oferta ordinaria),20,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CPR Plurilingüe La Grande Obra de Atocha · A Coruña,FP grao superior,A Coruña,A Coruña,CPR Plurilingüe La Grande Obra de Atocha,"CPR Plurilingüe La Grande Obra de Atocha, A Coruña, A Coruña, Galicia, España",,,Servizos socioculturais e á comunidade,Oferta ordinaria,1,Educación infantil (Oferta ordinaria),30,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CPR Plurilingüe Liceo La Paz · A Coruña,FP grao superior,A Coruña,A Coruña,CPR Plurilingüe Liceo La Paz,"CPR Plurilingüe Liceo La Paz, A Coruña, A Coruña, Galicia, España",,,Administración e xestión | Comercio e márketing,Oferta ordinaria,2,Administración e finanzas (Oferta ordinaria) || Transporte e loxística (Oferta ordinaria),40,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES A Sardiñeira · A Coruña,FP grao superior,A Coruña,A Coruña,IES A Sardiñeira,"IES A Sardiñeira, A Coruña, A Coruña, Galicia, España",,,Química,Oferta ordinaria,2,Laboratorio de análise e de control de calidade (Oferta ordinaria) || Química industrial (Oferta ordinaria),44,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
