Titulo_marcador,Tipo,Provincia,Localidade,Centro_ou_sede,Enderezo_para_Google,Universidade,Campus,Familias_ou_ramas,Modalidades,Numero_de_estudos,Estudos,Prazas_total_indicadas,Fontes,Nota_de_rigor
UIE - Campus da Coruña · A Coruña,Grao,A Coruña,A Coruña,UIE - Campus da Coruña,"UIE - Campus da Coruña, A Coruña, A Coruña, Galicia, España",Universidad Intercontinental de la Empresa (UIE),Campus da Coruña,Graos universitarios,Universidade,6,Administración de Negocios Dixitais / Digital Business Administration || Administración e Dirección de Empresas / Business Administration || Dereito / Law || Enxeñaría da Empresa / Business Engineering || Enxeñaría en Sistemas Intelixentes / Intelligent Systems Engineering || Psicoloxía / Psychology,,https://uie.edu/,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
Universidade da Coruña - Campus da Coruña · A Coruña,Grao,A Coruña,A Coruña,Universidade da Coruña - Campus da Coruña,"Universidade da Coruña - Campus da Coruña, A Coruña, A Coruña, Galicia, España",Universidade da Coruña,Campus da Coruña,Graos universitarios,Universidade,41,"Administración e Dirección de Empresas || Administración e Dirección de Empresas e Dereito || Arquitectura Técnica || Bioloxía || Bioloxía e Química || Ciencia e Enxeñaría de Datos || Ciencias Empresariais || Ciencias da Actividade Física e do Deporte || Comunicación Audiovisual || Creación Dixital, Animación e Videoxogos || Dereito || Economía || Educación Infantil || Educación Primaria || Educación Social || Enfermaría (Centro Adscrito) || Enxeñaría Informática || Enxeñaría Informática e Ciencia e Enxeñaría de Datos || Enxeñaría de Obras Públicas || Español e Galego-Portugués: Estudos Lingüísticos e Literarios || Español: Estudos Lingüísticos e Literarios || Estudos de Arquitectura || Fisioterapia || Galego e Portugués: Estudos Lingüísticos e Literarios || Grao Aberto en Ciencias Sociais e Xurídicas || Inglés e Español: Estudos Lingüísticos e Literarios || Inglés e Galego-Portugués: Estudos Lingüísticos e Literarios || Inglés: Estudos Lingüísticos e Literarios || Intelixencia Artificial || Logopedia || Máquinas Navais || Nanociencia e Nanotecnoloxía || Náutica e Transporte Marítimo || Química || Relacións Laborais e Recursos Humanos || Socioloxía || Tecnoloxías da Enxeñaría Civil || Terapia Ocupacional || Turismo (modalidade online) || Turismo (modalidade presencial) || Turismo e Ciencias Empresariais",,https://ciug.gal/PDF/2025/ACCESO/preins_anexo_II.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
Universidade da Coruña - Campus de Ferrol · Ferrol,Grao,A Coruña,Ferrol,Universidade da Coruña - Campus de Ferrol,"Universidade da Coruña - Campus de Ferrol, Ferrol, A Coruña, Galicia, España",Universidade da Coruña,Campus de Ferrol,Graos universitarios,Universidade,14,Enfermaría || Enxeñaría Electrónica Industrial e Automática || Enxeñaría Eléctrica (dual) || Enxeñaría Mecánica || Enxeñaría Mecánica e Enxeñaría Naval e Oceánica || Enxeñaría Naval e Oceánica || Enxeñaría en Deseño Industrial e Desenvolvemento do Produto || Enxeñaría en Tecnoloxías Industriais || Grao Aberto en Enxeñaría Industrial || Podoloxía || Relacións Internacionais || Relacións Laborais e Recursos Humanos || Xestión Dixital da Información e Documentación || Xestión Industrial de Moda,,https://ciug.gal/PDF/2025/ACCESO/preins_anexo_II.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
Universidade de Santiago de Compostela - Campus de Santiago de Compostela · Santiago de Compostela,Grao,A Coruña,Santiago de Compostela,Universidade de Santiago de Compostela - Campus de Santiago de Compostela,"Universidade de Santiago de Compostela - Campus de Santiago de Compostela, Santiago de Compostela, A Coruña, Galicia, España",Universidade de Santiago de Compostela,Campus de Santiago de Compostela,Graos universitarios,Universidade,45,Administración e Dirección de Empresas || Bioloxía || Bioloxía e Química || Biotecnoloxía || Ciencia Política e da Administración || Comunicación Audiovisual || Comunicación Audiovisual e Xornalismo || Criminoloxía || Dereito || Dereito e Relacións Laborais e Recursos Humanos || Economía || Educación Social || Enfermaría || Enxeñaría Informática || Enxeñaría Informática e Matemáticas || Enxeñaría Química || Farmacia || Farmacia e Óptica e Optometría || Filoloxía Clásica || Filosofía || Física || Física e Química || Historia || Historia da Arte || Intelixencia Artificial || Lingua e Literatura Españolas || Lingua e Literatura Galegas || Lingua e Literatura Inglesas || Linguas e Literaturas Modernas || Matemáticas || Matemáticas e Física || Medicina || Mestre en Educación Infantil || Mestre en Educación Infantil e Mestre en Educación Primaria || Mestre en Educación Primaria || Odontoloxía || Pedagoxía || Psicoloxía || Química || Relacións Laborais e Recursos Humanos || Traballo Social || Xeografía e Ordenación do Territorio || Xestión de Empresas Hostaleiras || Xornalismo || Óptica e Optometría,,https://ciug.gal/PDF/2025/ACCESO/preins_anexo_II.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
Universidade de Santiago de Compostela - Campus de Lugo · Lugo,Grao,Lugo,Lugo,Universidade de Santiago de Compostela - Campus de Lugo,"Universidade de Santiago de Compostela - Campus de Lugo, Lugo, Lugo, Galicia, España",Universidade de Santiago de Compostela,Campus de Lugo,Graos universitarios,Universidade,21,Administración e Dirección de Empresas || Bioquímica || Empresa e Tecnoloxía (modalidade presencial) || Empresa e Tecnoloxía (modalidade virtual) || Enfermaría (adscrito) || Enxeñaría Agrícola e Agroalimentaria || Enxeñaría Agrícola e Agroalimentaria e Enxeñaría Forestal e do Medio Natural || Enxeñaría Civil || Enxeñaría Forestal e do Medio Natural || Enxeñaría de Procesos Químicos Industriais || Grao Aberto USC Enxeñarías || Mestre en Educación Infantil || Mestre en Educación Infantil e Mestre en Educación Primaria || Mestre en Educación Primaria || Nutrición Humana e Dietética || Paisaxe || Relacións Laborais e Recursos Humanos || Robótica || Veterinaria || Xestión Cultural (modalidade presencial) || Xestión Cultural (modalidade virtual),,https://ciug.gal/PDF/2025/ACCESO/preins_anexo_II.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
Universidade de Vigo - Campus de Ourense · Ourense,Grao,Ourense,Ourense,Universidade de Vigo - Campus de Ourense,"Universidade de Vigo - Campus de Ourense, Ourense, Ourense, Galicia, España",Universidade de Vigo,Campus de Ourense,Graos universitarios,Universidade,24,Administración e Dirección de Empresas || Administración e Dirección de Empresas e Dereito || Administración e Dirección de Empresas e Enxeñaría Informática || Ciencia e Tecnoloxía dos Alimentos || Ciencias Ambientais || Dereito || Educación Infantil || Educación Primaria || Educación Social || Enfermaría (Centro Adscrito) || Enxeñaría Aeroespacial || Enxeñaría Agraria || Enxeñaría Agraria e Ciencia e Tecnoloxía dos Alimentos || Enxeñaría Agraria e Ciencias Ambientais || Enxeñaría Informática || Enxeñaría Informática e Intelixencia Artificial || Intelixencia Artificial || PARS en Máster en Enxeñaría Aeronáutica vía Grao en Enxeñaría Aeroespacial || PARS en Máster en Enxeñaría Informática vía Grao en Enxeñaría Informática || Relacións Internacionais || Traballo Social || Turismo || Turismo e Xeografía e Historia || Xeografía e Historia,,https://ciug.gal/PDF/2025/ACCESO/preins_anexo_II.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
Centro Universitario de Defensa na Escola Naval Militar de Marín · Marín,Grao,Pontevedra,Marín,Centro Universitario de Defensa na Escola Naval Militar de Marín,"Centro Universitario de Defensa na Escola Naval Militar de Marín, Marín, Pontevedra, Galicia, España",Universidade de Vigo,Centro Universitario de Defensa - Marín,Graos universitarios,Universidade,1,Enxeñaría en Mecánica (Centro Adscrito),,https://ciug.gal/PDF/2025/ACCESO/preins_anexo_II.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
Universidade de Vigo - Campus de Pontevedra · Pontevedra,Grao,Pontevedra,Pontevedra,Universidade de Vigo - Campus de Pontevedra,"Universidade de Vigo - Campus de Pontevedra, Pontevedra, Pontevedra, Galicia, España",Universidade de Vigo,Campus de Pontevedra,Graos universitarios,Universidade,12,Belas Artes || Ciencias da Actividade Física e do Deporte || Comunicación Audiovisual || Deseño || Dirección e Xestión Pública (modalidade presencial) || Dirección e Xestión Pública (modalidade virtual) || Educación Infantil || Educación Primaria || Enfermaría (Centro Adscrito) || Enxeñaría Forestal || Fisioterapia || Publicidade e Relacións Públicas,,https://ciug.gal/PDF/2025/ACCESO/preins_anexo_II.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
UIE - Campus de Vigo · Vigo,Grao,Pontevedra,Vigo,UIE - Campus de Vigo,"UIE - Campus de Vigo, Vigo, Pontevedra, Galicia, España",Universidad Intercontinental de la Empresa (UIE),Campus de Vigo,Graos universitarios,Universidade,6,Administración de Negocios Dixitais / Digital Business Administration || Administración e Dirección de Empresas / Business Administration || Dereito / Law || Enxeñaría da Empresa / Business Engineering || Enxeñaría en Sistemas Intelixentes / Intelligent Systems Engineering || Psicoloxía / Psychology,,https://uie.edu/,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
Universidade de Vigo - Campus de Vigo · Vigo,Grao,Pontevedra,Vigo,Universidade de Vigo - Campus de Vigo,"Universidade de Vigo - Campus de Vigo, Vigo, Pontevedra, Galicia, España",Universidade de Vigo,Campus de Vigo,Graos universitarios,Universidade,37,Administración e Dirección de Empresas || Administración e Dirección de Empresas e Dereito || Bioloxía || Ciencias do Mar || Comercio || Dereito || Economía || Educación Infantil || Educación Primaria || Enfermaría - Meixoeiro || Enfermaría - Povisa || Enxeñaría Biomédica || Enxeñaría Biomédica e Enxeñaría Electrónica Industrial e Automática || Enxeñaría Biomédica e Enxeñaría Mecánica || Enxeñaría Electrónica Industrial e Automática || Enxeñaría Eléctrica || Enxeñaría Mecánica || Enxeñaría Mecánica e Enxeñaría Electrónica Industrial e Automática || Enxeñaría da Automoción || Enxeñaría da Enerxía || Enxeñaría de Tecnoloxías de Telecomunicación || Enxeñaría de Tecnoloxías de Telecomunicación (grupo en inglés) || Enxeñaría dos Recursos Mineiros e Enerxéticos || Enxeñaría en Organización Industrial || Enxeñaría en Química Industrial || Enxeñaría en Tecnoloxías Industriais || Enxeñaría en Tecnoloxías Industriais (grupo en inglés) || Filoloxía Aplicada en Galego e Español || Linguas Estranxeiras || PARS en Máster en Enxeñaría Biomédica vía Grao en Enxeñaría Biomédica || PARS en Máster en Enxeñaría Industrial vía Grao en Enxeñaría en Tecnoloxías Industriais || PARS en Máster en Enxeñaría de Telecomunicación vía Grao en Enxeñaría de Tecnoloxías de Telecomunicación || Química || Relacións Laborais e Recursos Humanos || Tradución e Interpretación: Español - Francés || Tradución e Interpretación: Español - Inglés || Tradución e Interpretación: Galego - Inglés,,https://ciug.gal/PDF/2025/ACCESO/preins_anexo_II.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
