Titulo_marcador,Tipo,Provincia,Localidade,Centro_ou_sede,Enderezo_para_Google,Universidade,Campus,Familias_ou_ramas,Modalidades,Numero_de_estudos,Estudos,Prazas_total_indicadas,Fontes,Nota_de_rigor
Facultade de Ciencias Económicas e Empresariais / Facultade de Ciencias Xurídicas e do Traballo · Vigo / Pontevedra,Máster,,Vigo / Pontevedra,Facultade de Ciencias Económicas e Empresariais / Facultade de Ciencias Xurídicas e do Traballo,"Facultade de Ciencias Económicas e Empresariais / Facultade de Ciencias Xurídicas e do Traballo, Vigo / Pontevedra, Galicia, España",Universidade de Vigo,Campus de Vigo / Campus de Pontevedra,Área académica de estudos de Mestrado e Doutoramento do Ámbito Xurídico-Empresarial e Humanidades,Universidade,1,Avogacía e Procuradoría,,https://secretaria.uvigo.gal/uv/web/convocatoria/public/show/1785,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
UDC - Campus de A Coruña · A Coruña,Máster,A Coruña,A Coruña,UDC - Campus de A Coruña,"UDC - Campus de A Coruña, A Coruña, A Coruña, Galicia, España",Universidade da Coruña,Campus de A Coruña,Artes e Humanidades | Ciencias | Ciencias Sociais e Xurídicas | Ciencias da Saúde | Enxeñaría e Arquitectura,Universidade,63,"Abogacía y Procura || Acuicultura || Arquitectura || Asistencia e Investigación Sanitaria || Banca y Finanzas || Biodiversidad Terrestre: caracterización, conservación y gestión || Biofabricación || Bioinformática para Ciencias de la Salud || Biología Marina || Biología Molecular, Celular y Genética || Biotecnología Avanzada || Ciberseguridad || Ciencia y Tecnologías de Información Cuántica || Ciencias del Ejercicio, Preparación Física y Readaptación Deportiva || Ciencias, Tecnologías y Gestión Ambiental || Computación de Altas Prestaciones || Contabilidad Superior y Auditoría de Cuentas || Cronicidad y Nuevos Modelos de Atención Sociosanitaria (CROMAS) || Derecho Digital y de la Inteligencia Artificial || Desafíos de las Ciudades || Dirección Integrada de Proyectos || Dirección y Administración de Empresas || Economía || Economía Circular || Edificación Sostenible || Enseñanza de Español como Lengua Extranjera o Segunda Lengua || Estudios Avanzados sobre el Lenguaje, la Comunicación y sus Patologías || Estudios Ingleses Avanzados y sus Aplicaciones || Gerontología || Gestión Sostenible del Agua || Ingeniería Informática || Ingeniería Marina || Ingeniería de Caminos, Canales y Puertos || Inteligencia Artificial || Internet de las Cosas || Investigación Química y Química Industrial || Investigación e Innovación en Didácticas Específicas para Educación Infantil y Primaria || Investigación en Actividad Física, Deporte y Salud || Lingüística Aplicada || Literatura, Cultura y Diversidad || Matemática Industrial || Métodos Avanzados de Investigación e Innovación en el Análisis Social || Neurociencia || Náutica y Transporte Marítimo || Patrimonio Cultural Digital || Planificación y Gestión de Destinos y Productos Turísticos || Políticas Sociales e Intervención Sociocomunitaria || Producción Periodística y Audiovisual || Profesorado de Educación Secundaria Obligatoria y Bachillerato, Formación Profesional y Enseñanzas de Idiomas. Especialidad Artes Plásticas y Visuales || Profesorado de Educación Secundaria Obligatoria y Bachillerato, Formación Profesional y Enseñanzas de Idiomas. Especialidad Ciencias Experimentales || Profesorado de Educación Secundaria Obligatoria y Bachillerato, Formación Profesional y Enseñanzas de Idiomas. Especialidad Educación Física || Profesorado de Educación Secundaria Obligatoria y Bachillerato, Formación Profesional y Enseñanzas de Idiomas. Especialidad Formación y Orientación Laboral || Profesorado de Educación Secundaria Obligatoria y Bachillerato, Formación Profesional y Enseñanzas de Idiomas. Especialidad Geografía e Historia || Profesorado de Educación Secundaria Obligatoria y Bachillerato, Formación Profesional y Enseñanzas de Idiomas. Especialidad Lengua y Literatura Gallega y Lengua y Literatura Castellana || Profesorado de Educación Secundaria Obligatoria y Bachillerato, Formación Profesional y Enseñanzas de Idiomas. Especialidad Lenguas Extranjeras || Profesorado de Educación Secundaria Obligatoria y Bachillerato, Formación Profesional y Enseñanzas de Idiomas. Especialidad Música || Profesorado de Educación Secundaria Obligatoria y Bachillerato, Formación Profesional y Enseñanzas de Idiomas. Especialidad Orientación Educativa || Profesorado de Educación Secundaria Obligatoria y Bachillerato, Formación Profesional y Enseñanzas de Idiomas. Especialidad Tecnología || Psicología Aplicada || Psicopedagogía || Rehabilitación Arquitectónica || Técnicas Estadísticas || Visión por Computador",,https://www.udc.es/es/futuros_estudantes/masteres/masteres/,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
UDC - Campus de Ferrol · Ferrol,Máster,A Coruña,Ferrol,UDC - Campus de Ferrol,"UDC - Campus de Ferrol, Ferrol, A Coruña, Galicia, España",Universidade da Coruña,Campus de Ferrol,Artes e Humanidades | Ciencias Sociais e Xurídicas | Enxeñaría e Arquitectura,Universidade,14,"Arqueología y Ciencias de la Antigüedad || Diseño, Desarrollo y Comercialización de Videojuegos || Eficiencia Energética y Sostenibilidad || Estudios Avanzados en Museos, Archivos y Bibliotecas || Fabricación Aditiva || Gestión y Dirección Laboral || Informática Industrial y Robótica || Ingeniería Industrial || Ingeniería Naval y Oceánica || Ingeniería en Diseño Industrial || Prevención de Riesgos Laborales y Riesgos Comunes || Realidad Extendida || Tecnología Textil y Moda Sostenible || Vehículos Autónomos (pendiente de verificación ACSUG según fuente UDC)",,https://www.udc.es/es/futuros_estudantes/masteres/masteres/,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
USC - Campus de Santiago de Compostela · Santiago de Compostela,Máster,A Coruña,Santiago de Compostela,USC - Campus de Santiago de Compostela,"USC - Campus de Santiago de Compostela, Santiago de Compostela, A Coruña, Galicia, España",Universidade de Santiago de Compostela,Campus de Santiago de Compostela,Artes e Humanidades | Ciencias | Ciencias Sociais e Xurídicas | Ciencias da Saúde | Enxeñaría e Arquitectura,Universidade,74,"Máster Universitario Erasmus Mundus en Lexicografía (2ª ed) || Máster Universitario de Arqueoloxía e Ciencias da Antigüidade || Máster Universitario en Acuicultura || Máster Universitario en Atención Sanitaria, Xestión e Coidados || Máster Universitario en Avogacía e Procuradoría || Máster Universitario en Biociencias Moleculares [S] || Máster Universitario en Biodiversidade Terrestre: Caracterización, Conservación e Xestión || Máster Universitario en Biofabricación || Máster Universitario en Bioloxía Mariña || Máster Universitario en Ciencia e Tecnoloxías de Información Cuántica || Máster Universitario en Computación de Altas Prestacións (presencial) || Máster Universitario en Computación de Altas Prestacións (virtual) || Máster Universitario en Condicionantes Xenéticos, Nutricionais e Ambientais do Crecemento e Desenvolvemento NUTRENVIGEN G+D Factors || Máster Universitario en Dereito Transnacional da Empresa e das Tecnoloxías Dixitais || Máster Universitario en Desafíos das Cidades || Máster Universitario en Desenvolvemento Económico e Innovación (3ª ed) || Máster Universitario en Dirección de Empresas (2ª ed) || Máster Universitario en Dirección e Xestión Contable e Financeira || Máster Universitario en Economía || Máster Universitario en Economía Circular || Máster Universitario en Enerxías Renovables, Cambio Climático e Desenvolvemento Sustentable || Máster Universitario en Ensino do Español como Lingua Estranxeira ou Segunda Lingua || Máster Universitario en Enxeñaría Ambiental (3ª ed) || Máster Universitario en Enxeñaría Química e Bioprocesos (2ª edición) || Máster Universitario en Estudos Ingleses Avanzados e as súas Aplicacións || Máster Universitario en Estudos Internacionais || Máster Universitario en Estudos Medievais Europeos: Imaxes, Textos e Contextos || Máster Universitario en Estudos da Literatura e da Cultura || Máster Universitario en Filosofía: Coñecemento e Cidadanía || Máster Universitario en Física || Máster Universitario en Goberno Local e Políticas Públicas Innovadoras || Máster Universitario en Historia Contemporánea (3ª ed) || Máster Universitario en Historia Moderna: Monarquía de España Séculos XVI-XVIII || Máster Universitario en Igualdade, Xénero e Educación || Máster Universitario en Intelixencia Artificial || Máster Universitario en Internet das Cousas - IoT || Máster Universitario en Investigación Biomédica || Máster Universitario en Investigación Química e Química Industrial || Máster Universitario en Investigación e Desenvolvemento de Medicamentos || Máster Universitario en Investigación e Innovación en Didácticas Específicas para Educación Infantil e Primaria || Máster Universitario en Investigación en Educación, Diversidade Cultural e Desenvolvemento Comunitario || Máster Universitario en Lingüística Aplicada || Máster Universitario en Matemática Industrial || Máster Universitario en Matemáticas || Máster Universitario en Materiais Avanzados / Advanced Materials || Máster Universitario en Neurociencia || Máster Universitario en Optometría || Máster Universitario en Patrimonio Cultural Dixital || Máster Universitario en Planificación e Xestión Territorial || Máster Universitario en Prevención e Abordaxe Multidisciplinar das Drogodependencias e Condutas Aditivas || Máster Universitario en Procesos de Formación || Máster Universitario en Profesorado ESO, Bacharelato, FP e Ensinanzas de Idiomas. Especialidade Ciencias Experimentais, Matemáticas, Tecnoloxía e Informática || Máster Universitario en Profesorado ESO, Bacharelato, FP e Ensinanzas de Idiomas. Especialidade Ciencias Sociais e Humanidades || Máster Universitario en Profesorado ESO, Bacharelato, FP e Ensinanzas de Idiomas. Especialidade Formación Profesional: Sector Servizos || Máster Universitario en Profesorado ESO, Bacharelato, FP e Ensinanzas de Idiomas. Especialidade Linguas e Literaturas || Máster Universitario en Profesorado ESO, Bacharelato, FP e Ensinanzas de Idiomas. Especialidade Orientación Educativa (2ª edición) || Máster Universitario en Profesorado ESO, Bacharelato, FP e Ensinanzas de Idiomas. Especialidade en Artes || Máster Universitario en Psicoloxía || Máster Universitario en Psicoloxía Xeral Sanitaria || Máster Universitario en Psicoloxía do Traballo e as Organizacións e Psicoloxía Xurídica-Forense || Máster Universitario en Psicoxerontoloxía || Máster Universitario en Química Orgánica || Máster Universitario en Química na Fronteira coa Bioloxía e a Ciencia de Materiais || Máster Universitario en Saúde Pública || Máster Universitario en Tecnoloxías de Análise de Datos Masivos: Big Data || Máster Universitario en Tecnoloxías en Márketing e Comunicación Política || Máster Universitario en Turismo Urbano e Xestión de Empresas Turísticas || Máster Universitario en Técnicas Estatísticas || Máster Universitario en Visión por Computador (Computer Vision) || Máster Universitario en Xerontoloxía (3ª edición) || Máster Universitario en Xestión Sostible da Auga || Máster Universitario en Xestión da Arte e o Patrimonio Cultural || Máster Universitario en Xestión e Dirección Laboral || Máster Universitario en Xornalismo e Comunicación Multimedia",,https://www.usc.gal/gl/estudos/masteres,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
USC - Campus de Lugo · Lugo,Máster,Lugo,Lugo,USC - Campus de Lugo,"USC - Campus de Lugo, Lugo, Lugo, Galicia, España",Universidade de Santiago de Compostela,Campus de Lugo,Artes e Humanidades | Ciencias | Ciencias Sociais e Xurídicas | Ciencias da Saúde | Enxeñaría e Arquitectura,Universidade,14,"Máster Universitario en Biociencias Moleculares [L] || Máster Universitario en Dirección de Actividades Educativas na Natureza || Máster Universitario en Dirección de Empresas (2ª ed) || Máster Universitario en Dirección de Proxectos (2ª edición) || Máster Universitario en Enxeñaría Agronómica (2ª edición) || Máster Universitario en Enxeñaría de Montes (2ª edición) || Máster Universitario en Innovación en Nutrición, Seguridade e Tecnoloxía Alimentarias || Máster Universitario en Planificación e Xestión Territorial || Máster Universitario en Profesorado ESO, Bacharelato, FP e Ensinanzas de Idiomas. Especialidade Ciencias Experimentais, Matemáticas, Tecnoloxía e Informática || Máster Universitario en Profesorado ESO, Bacharelato, FP e Ensinanzas de Idiomas. Especialidade Formación Profesional: Sector Primario e Secundario || Máster Universitario en Profesorado ESO, Bacharelato, FP e Ensinanzas de Idiomas. Especialidade Linguas e Literaturas Estranxeiras || Máster Universitario en Servizos Culturais (4ª edición) || Máster Universitario en Sistemas Aéreos non Tripulados || Máster Universitario en Xenómica e Xenética",,https://www.usc.gal/gl/estudos/masteres,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
Escola Superior de Enxeñaría Informática · Ourense,Máster,Ourense,Ourense,Escola Superior de Enxeñaría Informática,"Escola Superior de Enxeñaría Informática, Ourense, Ourense, Galicia, España",Universidade de Vigo,Campus de Ourense,Área académica de estudos de Mestrado e Doutoramento de Ourense,Universidade,2,Enxeñaría Informática || Intelixencia Artificial,45,https://secretaria.uvigo.gal/uv/web/convocatoria/public/show/1785,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
Escola de Enxeñaría Aeronáutica e do Espazo · Ourense,Máster,Ourense,Ourense,Escola de Enxeñaría Aeronáutica e do Espazo,"Escola de Enxeñaría Aeronáutica e do Espazo, Ourense, Ourense, Galicia, España",Universidade de Vigo,Campus de Ourense,Área académica de estudos de Mestrado e Doutoramento de Ourense,Universidade,2,Enxeñaría Aeronáutica || Sistemas Aéreos Non Tripulados,37,https://secretaria.uvigo.gal/uv/web/convocatoria/public/show/1785,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
Facultade de Ciencias · Ourense,Máster,Ourense,Ourense,Facultade de Ciencias,"Facultade de Ciencias, Ourense, Ourense, Galicia, España",Universidade de Vigo,Campus de Ourense,Área académica de estudos de Mestrado e Doutoramento de Ourense,Universidade,2,Ciencia e Tecnoloxía Agroalimentaria e Ambiental || Nutrición,54,https://secretaria.uvigo.gal/uv/web/convocatoria/public/show/1785,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
Facultade de Ciencias Empresariais e do Turismo · Ourense,Máster,Ourense,Ourense,Facultade de Ciencias Empresariais e do Turismo,"Facultade de Ciencias Empresariais e do Turismo, Ourense, Ourense, Galicia, España",Universidade de Vigo,Campus de Ourense,Área académica de estudos de Mestrado e Doutoramento de Ourense,Universidade,3,Dirección e Planificación do Turismo Interior e de Saúde || Economía Circular || Xestión Empresarial do Deporte,67,https://secretaria.uvigo.gal/uv/web/convocatoria/public/show/1785,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
Facultade de Dereito · Ourense,Máster,Ourense,Ourense,Facultade de Dereito,"Facultade de Dereito, Ourense, Ourense, Galicia, España",Universidade de Vigo,Campus de Ourense,Área académica de estudos de Mestrado e Doutoramento de Ourense,Universidade,1,Avogacía e Procuradoría,30,https://secretaria.uvigo.gal/uv/web/convocatoria/public/show/1785,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
