Tipo,Nivel,Modalidade,Provincia,Localidade,Centro_ou_sede,Enderezo_para_Google,Universidade,Campus,Familia_ou_rama,Codigo_estudo,Nome_do_estudo,Prazas,Fonte
FP,FP,FP básica,A Coruña,Ames,IES Plurilingüe de Ames,"IES Plurilingüe de Ames, Ames, A Coruña, Galicia, España",,,Agraria,D1AGA001100,Agroxardinaría e composicións florais,18,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf
FP,FP,FP básica,A Coruña,Ames,IES Plurilingüe de Ames,"IES Plurilingüe de Ames, Ames, A Coruña, Galicia, España",,,Imaxe persoal,D1IMP001100,Peiteado e estética,18,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf
FP,FP,FP básica,A Coruña,Arteixo,IES de Sabón,"IES de Sabón, Arteixo, A Coruña, Galicia, España",,,Hostalaría e turismo,D1HOT001300,Actividades de panadaría e pastelaría,18,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf
FP,FP,FP básica,A Coruña,Arteixo,IES de Sabón,"IES de Sabón, Arteixo, A Coruña, Galicia, España",,,Hostalaría e turismo,D1HOT001100,Cociña e restauración,18,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf
FP,FP,FP básica,A Coruña,Arteixo,IES de Sabón,"IES de Sabón, Arteixo, A Coruña, Galicia, España",,,Electricidade e electrónica,D1ELE001100,Electricidade e electrónica,18,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf
FP,FP,FP básica,A Coruña,Arteixo,CPR Agarimo,"CPR Agarimo, Arteixo, A Coruña, Galicia, España",,,Agraria,D1AGA001100,Agroxardinaría e composicións florais,20,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf
FP,FP,FP básica,A Coruña,Arteixo,CPR Agarimo,"CPR Agarimo, Arteixo, A Coruña, Galicia, España",,,"Madeira, moble e cortiza",D1MAM001100,Carpintaría e moble,20,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf
FP,FP,FP básica,A Coruña,Arteixo,CPR Agarimo,"CPR Agarimo, Arteixo, A Coruña, Galicia, España",,,Hostalaría e turismo,D1HOT001100,Cociña e restauración,20,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf
FP,FP,FP básica,A Coruña,Arzúa,IES de Arzúa,"IES de Arzúa, Arzúa, A Coruña, Galicia, España",,,Agraria,D1AGA001100,Agroxardinaría e composicións florais,18,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf
FP,FP,FP básica,A Coruña,Arzúa,IES de Arzúa,"IES de Arzúa, Arzúa, A Coruña, Galicia, España",,,Administración e xestión,D1ADG001100,Servizos administrativos,18,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf
FP,FP,FP básica,A Coruña,Betanzos,IES As Mariñas,"IES As Mariñas, Betanzos, A Coruña, Galicia, España",,,Transporte e mantemento de vehículos,D1TMV001100,Mantemento de vehículos,18,i_portal_oferta_clasificada_por_prov_concello_fp_basica.pdf
