Localidade,Provincia,Nivel,Tipo,Familia ou rama,Estudo,Centro ou sede,Universidade,Campus,Prazas,Fonte
Ames,A Coruña,FP,fp,Agraria,Agroxardinaría e composicións florais,IES Plurilingüe de Ames,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Ames,A Coruña,FP,fp,Imaxe persoal,Peiteado e estética,IES Plurilingüe de Ames,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Arteixo,A Coruña,FP,fp,Hostalaría e turismo,Actividades de panadaría e pastelaría,IES de Sabón,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Arteixo,A Coruña,FP,fp,Hostalaría e turismo,Cociña e restauración,IES de Sabón,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Arteixo,A Coruña,FP,fp,Electricidade e electrónica,Electricidade e electrónica,IES de Sabón,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Arteixo,A Coruña,FP,fp,Agraria,Agroxardinaría e composicións florais,CPR Agarimo,,,20,https://www.edu.xunta.gal/fp/oferta-fp
Arteixo,A Coruña,FP,fp,"Madeira, moble e cortiza",Carpintaría e moble,CPR Agarimo,,,20,https://www.edu.xunta.gal/fp/oferta-fp
Arteixo,A Coruña,FP,fp,Hostalaría e turismo,Cociña e restauración,CPR Agarimo,,,20,https://www.edu.xunta.gal/fp/oferta-fp
Arzúa,A Coruña,FP,fp,Agraria,Agroxardinaría e composicións florais,IES de Arzúa,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Arzúa,A Coruña,FP,fp,Administración e xestión,Servizos administrativos,IES de Arzúa,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Betanzos,A Coruña,FP,fp,Transporte e mantemento de vehículos,Mantemento de vehículos,IES As Mariñas,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Betanzos,A Coruña,FP,fp,Administración e xestión,Servizos administrativos,IES As Mariñas,,,18,https://www.edu.xunta.gal/fp/oferta-fp
